timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
9415,-0.98,-0.04,-0.20,1.46,-0.79,-0.31
9421,-0.97,-0.04,-0.20,1.28,-0.73,-0.31
9428,-0.97,-0.05,-0.20,1.34,-0.79,-0.37
9436,-0.97,-0.05,-0.20,0.73,-0.92,-0.49
9445,-0.97,-0.05,-0.20,0.37,-0.73,-0.67
9454,-0.97,-0.05,-0.21,0.61,-0.73,-0.49
9462,-0.97,-0.05,-0.21,0.49,-0.73,-0.55
9471,-0.97,-0.05,-0.21,0.73,-0.67,-0.49
9480,-0.97,-0.05,-0.21,0.98,-0.61,-0.37
9488,-0.97,-0.04,-0.21,1.10,-0.43,-0.43
9497,-0.97,-0.04,-0.21,1.16,-0.49,-0.31
9506,-0.97,-0.04,-0.21,1.16,-0.12,-0.37
9515,-0.97,-0.04,-0.21,1.16,-0.06,-0.43
9523,-0.97,-0.04,-0.21,1.28,-0.18,-0.37
9532,-0.97,-0.05,-0.21,1.16,-0.12,-0.37
9541,-0.97,-0.04,-0.20,1.16,-0.06,-0.31
9549,-0.97,-0.05,-0.20,1.04,-0.12,-0.43
9558,-0.97,-0.05,-0.20,1.16,-0.06,-0.43
9567,-0.98,-0.05,-0.20,1.10,-0.24,-0.43
9575,-0.97,-0.05,-0.20,1.04,-0.24,-0.49
9584,-0.98,-0.05,-0.20,1.34,-0.24,-0.43
9593,-0.98,-0.05,-0.20,1.40,-0.18,-0.37
9602,-0.98,-0.04,-0.20,1.95,-0.43,-0.24
9610,-0.98,-0.04,-0.20,2.38,-0.43,-0.31
9619,-0.98,-0.04,-0.20,2.38,-0.49,-0.12
9627,-0.98,-0.04,-0.20,2.38,-0.43,-0.18
9636,-0.98,-0.05,-0.20,2.50,-0.49,-0.18
9645,-0.98,-0.05,-0.20,2.14,-0.49,-0.37
9654,-0.97,-0.05,-0.20,2.20,-0.67,-0.31
9662,-0.97,-0.05,-0.20,2.08,-0.85,-0.24
9671,-0.98,-0.04,-0.21,1.95,-0.73,-0.24
9680,-0.98,-0.04,-0.20,1.89,-0.79,-0.18
9689,-0.97,-0.04,-0.20,1.95,-0.92,-0.18
9698,-0.97,-0.04,-0.20,1.53,-0.61,-0.24
9706,-0.97,-0.04,-0.21,1.46,-0.61,-0.31
9715,-0.98,-0.05,-0.21,1.10,-0.73,-0.31
9724,-0.97,-0.05,-0.20,1.04,-0.67,-0.37
9732,-0.97,-0.05,-0.21,1.10,-0.61,-0.43
9741,-0.97,-0.05,-0.21,1.28,-0.73,-0.37
9749,-0.97,-0.05,-0.21,0.92,-0.55,-0.49
9758,-0.97,-0.05,-0.21,1.40,-0.43,-0.31
9767,-0.97,-0.05,-0.21,1.59,-0.49,-0.31
9776,-0.98,-0.04,-0.21,1.77,-0.61,-0.31
9784,-0.98,-0.04,-0.21,2.08,-0.55,-0.31
9793,-0.98,-0.04,-0.20,1.71,-0.73,-0.18
9802,-0.98,-0.04,-0.20,1.53,-0.49,-0.24
9810,-0.97,-0.04,-0.20,1.40,-0.73,-0.31
9819,-0.97,-0.04,-0.21,1.16,-0.61,-0.49
9828,-0.97,-0.05,-0.21,0.85,-0.67,-0.43
9837,-0.97,-0.05,-0.21,0.79,-0.73,-0.49
9845,-0.97,-0.05,-0.21,0.67,-0.67,-0.49
9854,-0.97,-0.05,-0.21,0.98,-0.61,-0.43
9863,-0.97,-0.05,-0.21,1.34,-0.55,-0.43
9871,-0.97,-0.05,-0.21,1.34,-0.49,-0.31
9880,-0.97,-0.05,-0.21,1.40,-0.55,-0.37
9889,-0.98,-0.04,-0.21,1.34,-0.49,-0.37
9898,-0.97,-0.04,-0.21,0.92,-0.49,-0.37
9906,-0.98,-0.04,-0.21,0.98,-0.67,-0.49
9915,-0.98,-0.04,-0.21,1.16,-0.55,-0.55
9923,-0.97,-0.04,-0.21,0.98,-0.67,-0.55
9932,-0.97,-0.05,-0.21,0.92,-0.67,-0.55
9941,-0.97,-0.05,-0.21,1.04,-0.79,-0.43
9950,-0.97,-0.06,-0.21,0.55,-0.67,-0.55
9959,-0.97,-0.05,-0.21,0.85,-0.73,-0.49
9967,-0.97,-0.05,-0.21,1.28,-0.61,-0.43
9976,-0.97,-0.05,-0.21,1.40,-0.61,-0.43
9985,-0.97,-0.04,-0.21,1.46,-0.67,-0.55
9993,-0.98,-0.04,-0.21,1.77,-0.85,-0.31
10002,-0.98,-0.05,-0.21,1.34,-0.61,-0.55
10011,-0.98,-0.04,-0.21,1.28,-0.49,-0.43
10020,-0.98,-0.05,-0.21,1.59,-0.49,-0.31
10028,-0.98,-0.05,-0.21,1.53,-0.55,-0.31
10037,-0.97,-0.04,-0.21,1.46,-0.55,-0.31
10045,-0.97,-0.04,-0.21,1.34,-0.61,-0.31
10054,-0.97,-0.05,-0.21,0.67,-0.55,-0.49
10063,-0.97,-0.05,-0.21,0.79,-0.49,-0.55
10071,-0.97,-0.05,-0.21,0.92,-0.55,-0.43
10080,-0.97,-0.05,-0.21,0.92,-0.67,-0.37
10089,-0.97,-0.05,-0.21,1.22,-0.61,-0.37
10098,-0.97,-0.05,-0.21,1.10,-0.55,-0.49
10106,-0.97,-0.05,-0.21,0.67,-0.49,-0.55
10115,-0.97,-0.05,-0.21,1.34,-0.61,-0.37
10124,-0.97,-0.05,-0.21,1.40,-0.79,-0.43
10132,-0.97,-0.04,-0.21,1.46,-0.85,-0.37
