timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
6348,-0.99,-0.00,-0.14,2.14,0.49,-0.24
6355,-0.99,-0.00,-0.13,2.26,0.43,-0.12
6362,-0.99,-0.00,-0.13,1.77,0.37,-0.18
6369,-0.99,-0.00,-0.14,1.71,0.43,-0.31
6378,-0.99,-0.00,-0.14,1.77,0.18,-0.43
6387,-0.99,-0.01,-0.13,1.46,0.12,-0.37
6395,-0.99,-0.01,-0.13,1.28,-0.12,-0.37
6404,-0.99,-0.01,-0.13,1.59,-0.31,-0.37
6413,-0.99,-0.00,-0.14,1.71,-0.37,-0.37
6421,-0.99,0.01,-0.14,1.16,-0.49,-0.43
6430,-0.99,0.01,-0.14,0.98,-0.85,-0.55
6439,-0.99,0.00,-0.14,0.85,-0.61,-0.55
6447,-0.99,-0.00,-0.15,-0.12,-0.55,-0.55
6456,-0.99,-0.00,-0.14,0.31,-0.73,-0.55
6465,-0.99,-0.01,-0.14,0.61,-0.92,-0.49
6473,-0.98,-0.01,-0.15,0.18,-0.79,-0.49
6482,-0.98,-0.01,-0.15,0.06,-0.43,-0.61
6491,-0.98,-0.01,-0.15,0.31,-0.49,-0.55
6500,-0.98,-0.01,-0.14,0.73,-0.31,-0.49
6508,-0.99,-0.01,-0.15,0.98,-0.24,-0.31
6517,-0.99,-0.00,-0.15,0.98,-0.18,-0.43
6526,-0.98,-0.00,-0.14,0.67,-0.24,-0.55
6534,-0.98,-0.00,-0.14,0.67,-0.31,-0.61
6543,-0.99,-0.01,-0.13,0.98,-0.37,-0.55
6552,-0.99,-0.01,-0.14,1.10,-0.18,-0.49
6561,-0.99,-0.01,-0.14,1.34,-0.31,-0.55
6569,-0.99,-0.00,-0.14,1.34,-0.73,-0.61
6578,-0.99,-0.00,-0.14,1.04,-0.61,-0.61
6586,-0.99,-0.00,-0.14,1.28,-0.61,-0.61
6595,-0.99,-0.00,-0.14,1.71,-0.73,-0.61
6604,-0.99,-0.00,-0.14,1.59,-0.92,-0.55
6613,-0.99,-0.01,-0.15,0.92,-0.98,-0.61
6622,-0.98,-0.01,-0.15,0.55,-1.04,-0.79
6630,-0.98,-0.01,-0.15,0.73,-1.04,-0.85
6639,-0.98,-0.00,-0.15,1.10,-0.85,-0.79
6647,-0.98,0.00,-0.15,1.46,-0.92,-0.61
6656,-0.98,0.00,-0.15,1.28,-0.79,-0.55
6665,-0.98,0.00,-0.15,0.85,-0.85,-0.55
6674,-0.99,-0.00,-0.15,0.43,-0.55,-0.67
6682,-0.99,-0.01,-0.15,0.24,-0.12,-0.73
6691,-0.98,-0.01,-0.16,0.55,0.24,-0.79
6700,-0.98,-0.01,-0.15,0.49,0.12,-0.92
6709,-0.98,-0.01,-0.15,0.55,0.49,-0.73
6717,-0.98,-0.01,-0.15,1.04,0.49,-0.67
6726,-0.98,-0.01,-0.14,1.04,0.43,-0.85
6735,-0.99,-0.00,-0.14,0.49,0.49,-1.10
6743,-0.99,0.00,-0.14,0.98,0.49,-0.85
6752,-0.99,-0.00,-0.14,0.92,0.37,-0.85
6761,-0.99,-0.00,-0.14,0.49,0.12,-1.04
6769,-0.99,-0.00,-0.14,0.79,-0.18,-0.85
6778,-0.99,-0.00,-0.14,0.85,-0.06,-0.85
6787,-0.99,-0.00,-0.14,0.18,-0.37,-1.04
6795,-0.99,-0.00,-0.15,0.31,-0.43,-0.98
6804,-0.99,-0.00,-0.15,0.00,-0.55,-0.98
6813,-0.99,-0.01,-0.14,0.31,-0.43,-0.92
6822,-0.98,-0.01,-0.14,0.18,-0.37,-0.98
6830,-0.98,-0.00,-0.14,0.24,-0.31,-1.04
6839,-0.99,0.00,-0.14,0.43,-0.24,-0.92
6848,-0.99,-0.00,-0.14,1.04,-0.31,-0.67
6856,-0.99,-0.00,-0.15,0.61,-0.18,-0.67
6865,-0.98,-0.00,-0.15,0.06,-0.31,-0.73
6874,-0.98,-0.00,-0.15,0.55,-0.43,-0.79
6883,-0.98,-0.00,-0.14,0.61,-0.12,-0.79
6891,-0.99,-0.00,-0.14,0.43,-0.18,-0.73
6900,-0.99,-0.00,-0.14,0.67,-0.24,-0.85
6909,-0.99,-0.00,-0.14,0.55,-0.18,-0.85
6918,-0.99,-0.02,-0.15,0.61,0.18,-0.85
6926,-0.98,-0.02,-0.15,0.92,-0.18,-0.79
6935,-0.98,-0.01,-0.14,0.85,-0.12,-0.92
6944,-0.99,-0.00,-0.14,1.34,0.06,-0.92
6952,-0.99,0.00,-0.15,1.83,0.12,-0.67
6961,-0.99,0.00,-0.14,1.65,-0.18,-0.67
6970,-0.99,0.00,-0.14,1.59,-0.31,-0.85
6978,-0.99,0.00,-0.15,1.46,-0.31,-0.79
6987,-0.99,-0.00,-0.15,1.16,-0.12,-0.98
6996,-0.99,-0.00,-0.15,0.73,-0.06,-1.16
7005,-0.99,-0.01,-0.14,0.67,0.00,-1.10
7013,-0.98,-0.01,-0.14,0.67,0.12,-1.04
7022,-0.99,-0.01,-0.14,0.98,0.00,-1.04
7030,-0.99,-0.01,-0.14,1.59,0.24,-0.92
7039,-0.99,0.00,-0.14,1.53,0.24,-0.98
7048,-0.99,0.01,-0.14,1.28,0.00,-1.10
7057,-0.99,0.01,-0.14,1.71,-0.12,-0.92
7065,-0.99,0.00,-0.14,1.83,-0.12,-0.79
7074,-0.99,-0.00,-0.14,1.65,-0.12,-0.85
7083,-0.99,-0.01,-0.14,1.34,0.00,-0.98
7091,-0.98,-0.01,-0.14,0.98,-0.06,-1.10
7100,-0.98,-0.00,-0.14,1.53,-0.12,-1.04
7109,-0.98,0.00,-0.14,1.65,-0.37,-0.92
7117,-0.99,0.01,-0.14,1.46,-0.37,-0.85
7126,-0.99,0.01,-0.14,1.22,-0.18,-0.98
7135,-0.99,0.01,-0.15,0.79,-0.18,-1.10
7143,-0.99,0.00,-0.15,0.18,-0.06,-1.10
7152,-0.98,-0.00,-0.15,0.55,-0.06,-1.04
7161,-0.98,-0.01,-0.14,1.04,0.00,-1.10
7170,-0.98,-0.01,-0.14,1.28,0.24,-1.04
7179,-0.98,-0.01,-0.14,1.10,-0.06,-1.04
7187,-0.98,-0.01,-0.14,1.65,-0.18,-0.85
7196,-0.99,-0.00,-0.14,1.53,0.00,-0.92
7204,-0.99,0.01,-0.14,1.71,-0.24,-1.10
7213,-0.99,0.02,-0.14,1.59,-0.43,-1.04
7222,-0.99,0.01,-0.14,1.53,-0.31,-0.92
7231,-0.99,0.01,-0.15,1.04,-0.18,-0.92
7239,-0.98,0.00,-0.14,0.67,-0.24,-0.98
7248,-0.99,-0.01,-0.14,0.43,-0.12,-0.98
7257,-0.98,-0.01,-0.14,0.85,-0.06,-0.85
7265,-0.99,-0.01,-0.14,1.28,-0.12,-0.73
7274,-0.99,-0.00,-0.14,1.46,-0.55,-0.79
7283,-0.99,0.01,-0.14,1.77,-0.67,-0.73
7292,-0.99,0.01,-0.14,1.40,-0.55,-0.61
7300,-0.99,0.01,-0.14,1.10,-0.73,-0.92
7309,-0.99,0.01,-0.14,1.34,-0.98,-0.73
7318,-0.99,0.01,-0.14,1.34,-0.98,-0.73
7326,-0.99,0.00,-0.15,0.98,-0.85,-0.73
7335,-0.99,-0.00,-0.14,0.73,-0.79,-0.79
7344,-0.99,-0.01,-0.14,0.49,-0.85,-0.85
7352,-0.98,-0.01,-0.14,0.67,-0.67,-0.79
7361,-0.98,-0.01,-0.14,0.85,-0.67,-0.67
7370,-0.98,-0.00,-0.14,0.92,-0.67,-0.85
7379,-0.98,0.00,-0.14,1.10,-0.61,-0.92
7388,-0.99,0.01,-0.14,1.16,-0.67,-0.73
7396,-0.99,0.01,-0.14,1.04,-0.55,-0.73
7405,-0.99,0.01,-0.15,0.55,-0.49,-0.73
7413,-0.98,0.00,-0.15,0.24,-0.49,-0.73
